LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 142.20s, Fin: 142.20s (Duración: 0.00s)
- Inicio: 142.40s, Fin: 142.60s (Duración: 0.20s)
- Inicio: 142.93s, Fin: 142.93s (Duración: 0.00s)
- Inicio: 143.07s, Fin: 143.07s (Duración: 0.00s)
- Inicio: 147.07s, Fin: 147.07s (Duración: 0.00s)
- Inicio: 147.27s, Fin: 147.27s (Duración: 0.00s)
- Inicio: 148.13s, Fin: 148.13s (Duración: 0.00s)
- Inicio: 151.67s, Fin: 151.67s (Duración: 0.00s)
- Inicio: 151.87s, Fin: 151.87s (Duración: 0.00s)
- Inicio: 152.13s, Fin: 152.13s (Duración: 0.00s)
- Inicio: 152.47s, Fin: 152.47s (Duración: 0.00s)
- Inicio: 152.60s, Fin: 152.73s (Duración: 0.13s)
- Inicio: 153.27s, Fin: 153.47s (Duración: 0.20s)
- Inicio: 153.67s, Fin: 153.80s (Duración: 0.13s)
- Inicio: 154.20s, Fin: 154.20s (Duración: 0.00s)
- Inicio: 154.40s, Fin: 154.87s (Duración: 0.47s)
- Inicio: 155.40s, Fin: 155.40s (Duración: 0.00s)
- Inicio: 155.60s, Fin: 155.60s (Duración: 0.00s)
- Inicio: 155.73s, Fin: 156.60s (Duración: 0.87s)
- Inicio: 156.80s, Fin: 157.00s (Duración: 0.20s)
- Inicio: 157.20s, Fin: 157.20s (Duración: 0.00s)
- Inicio: 157.40s, Fin: 157.40s (Duración: 0.00s)
- Inicio: 157.53s, Fin: 157.53s (Duración: 0.00s)
- Inicio: 157.80s, Fin: 158.07s (Duración: 0.27s)
- Inicio: 169.13s, Fin: 169.13s (Duración: 0.00s)
- Inicio: 169.33s, Fin: 169.33s (Duración: 0.00s)
- Inicio: 169.53s, Fin: 169.73s (Duración: 0.20s)
- Inicio: 169.93s, Fin: 169.93s (Duración: 0.00s)
- Inicio: 170.73s, Fin: 170.93s (Duración: 0.20s)
- Inicio: 176.87s, Fin: 176.93s (Duración: 0.07s)
- Inicio: 177.20s, Fin: 177.40s (Duración: 0.20s)
- Inicio: 177.60s, Fin: 177.67s (Duración: 0.07s)
- Inicio: 177.93s, Fin: 178.00s (Duración: 0.07s)
- Inicio: 179.93s, Fin: 180.20s (Duración: 0.27s)
- Inicio: 180.40s, Fin: 180.40s (Duración: 0.00s)
- Inicio: 182.67s, Fin: 182.67s (Duración: 0.00s)
- Inicio: 182.87s, Fin: 182.87s (Duración: 0.00s)
- Inicio: 183.80s, Fin: 183.93s (Duración: 0.13s)
- Inicio: 184.67s, Fin: 184.67s (Duración: 0.00s)
- Inicio: 184.80s, Fin: 184.80s (Duración: 0.00s)
- Inicio: 185.60s, Fin: 185.67s (Duración: 0.07s)
- Inicio: 185.87s, Fin: 185.87s (Duración: 0.00s)
- Inicio: 186.07s, Fin: 186.47s (Duración: 0.40s)
- Inicio: 187.07s, Fin: 187.07s (Duración: 0.00s)
- Inicio: 187.20s, Fin: 187.27s (Duración: 0.07s)
